time;target
01/01/1928;124
02/01/1928;132
03/01/1928;193
04/01/1928;144
05/01/1928;195
06/01/1928;105
07/01/1928;40
08/01/1928;20
09/01/1928;42
10/01/1928;58
11/01/1928;170
12/01/1928;197
01/01/1929;329
02/01/1929;417
03/01/1929;968
04/01/1929;989
05/01/1929;1264
06/01/1929;1074
07/01/1929;352
08/01/1929;118
09/01/1929;69
10/01/1929;91
11/01/1929;182
12/01/1929;233
01/01/1930;406
02/01/1930;550
03/01/1930;853
04/01/1930;835
05/01/1930;787
06/01/1930;518
07/01/1930;132
08/01/1930;66
09/01/1930;57
10/01/1930;77
11/01/1930;83
12/01/1930;138
01/01/1931;116
02/01/1931;177
03/01/1931;288
04/01/1931;299
05/01/1931;315
06/01/1931;329
07/01/1931;143
08/01/1931;50
09/01/1931;59
10/01/1931;74
11/01/1931;110
12/01/1931;180
01/01/1932;361
02/01/1932;556
03/01/1932;687
04/01/1932;821
05/01/1932;799
06/01/1932;901
07/01/1932;478
08/01/1932;212
09/01/1932;153
10/01/1932;207
11/01/1932;386
12/01/1932;576
01/01/1933;807
02/01/1933;923
03/01/1933;1604
04/01/1933;1475
05/01/1933;1123
06/01/1933;662
07/01/1933;253
08/01/1933;116
09/01/1933;70
10/01/1933;107
11/01/1933;147
12/01/1933;155
01/01/1934;266
02/01/1934;249
03/01/1934;406
04/01/1934;452
05/01/1934;547
06/01/1934;472
07/01/1934;213
08/01/1934;136
09/01/1934;114
10/01/1934;137
11/01/1934;276
12/01/1934;341
01/01/1935;688
02/01/1935;935
03/01/1935;1850
04/01/1935;1938
05/01/1935;1806
06/01/1935;1030
07/01/1935;472
08/01/1935;151
09/01/1935;123
10/01/1935;133
11/01/1935;195
12/01/1935;255
01/01/1936;357
02/01/1936;386
03/01/1936;543
04/01/1936;645
05/01/1936;668
06/01/1936;659
07/01/1936;276
08/01/1936;142
09/01/1936;93
10/01/1936;82
11/01/1936;122
12/01/1936;225
01/01/1937;315
02/01/1937;360
03/01/1937;777
04/01/1937;1070
05/01/1937;1115
06/01/1937;1200
07/01/1937;550
08/01/1937;279
09/01/1937;154
10/01/1937;170
11/01/1937;290
12/01/1937;488
01/01/1938;764
02/01/1938;990
03/01/1938;1695
04/01/1938;1738
05/01/1938;1295
06/01/1938;1026
07/01/1938;345
08/01/1938;178
09/01/1938;85
10/01/1938;115
11/01/1938;122
12/01/1938;179
01/01/1939;266
02/01/1939;326
03/01/1939;454
04/01/1939;510
05/01/1939;555
06/01/1939;531
07/01/1939;358
08/01/1939;177
09/01/1939;131
10/01/1939;189
11/01/1939;262
12/01/1939;398
01/01/1940;662
02/01/1940;733
03/01/1940;941
04/01/1940;1229
05/01/1940;1485
06/01/1940;1406
07/01/1940;959
08/01/1940;436
09/01/1940;233
10/01/1940;221
11/01/1940;391
12/01/1940;696
01/01/1941;930
02/01/1941;899
03/01/1941;1261
04/01/1941;1245
05/01/1941;847
06/01/1941;626
07/01/1941;348
08/01/1941;168
09/01/1941;132
10/01/1941;142
11/01/1941;201
12/01/1941;399
01/01/1942;569
02/01/1942;651
03/01/1942;1024
04/01/1942;1272
05/01/1942;1258
06/01/1942;960
07/01/1942;445
08/01/1942;201
09/01/1942;138
10/01/1942;117
11/01/1942;162
12/01/1942;272
01/01/1943;395
02/01/1943;552
03/01/1943;926
04/01/1943;1062
05/01/1943;1070
06/01/1943;846
07/01/1943;355
08/01/1943;172
09/01/1943;109
10/01/1943;94
11/01/1943;184
12/01/1943;245
01/01/1944;324
02/01/1944;433
03/01/1944;752
04/01/1944;845
05/01/1944;859
06/01/1944;671
07/01/1944;275
08/01/1944;134
09/01/1944;75
10/01/1944;104
11/01/1944;161
12/01/1944;237
01/01/1945;330
02/01/1945;467
03/01/1945;707
04/01/1945;667
05/01/1945;711
06/01/1945;793
07/01/1945;429
08/01/1945;211
09/01/1945;140
10/01/1945;207
11/01/1945;251
12/01/1945;289
