time;target
1;150
2;117
3;149
4;113
5;110
6;140
7;126
8;161
9;161
10;161
11;140
12;175
13;156
14;138
15;130
16;175
17;171
18;186
19;215
20;208
21;172
22;145
23;166
24;229
25;220
26;145
27;167
28;216
29;185
30;206
31;144
32;248
33;221
34;223
35;210
36;218
37;214
38;172
39;179
40;200
41;248
42;284
43;268
44;203
45;231
46;225
47;247
48;308
49;255
50;223
51;277
52;226
53;254
54;246
55;236
56;280
57;280
58;278
59;245
60;254
61;247
62;221
63;184
64;170
65;203
66;214
67;191
68;244
69;220
70;235
71;226
72;265
73;186
74;173
75;226
76;146
77;159
78;175
79;195
80;127
81;220
82;201
83;187
84;212
