time;target
2000.01;4072
2000.02;4023
2000.03;4112
2000.04;4059
2000.05;4109
2000.06;4099
2000.07;4056
2000.08;4122
2000.09;4187
2000.1;4437
2000.11;4208
2000.12;4249
2001.01;4287
2001.02;4135
2001.03;4294
2001.04;4263
2001.05;4341
2001.06;3762
2001.07;3233
2001.08;3254
2001.09;3268
2001.1;3368
2001.11;3420
2001.12;3432
2002.01;3671
2002.02;3556
2002.03;3583
2002.04;3899
2002.05;3957
2002.06;3897
2002.07;3964
2002.08;4039
2002.09;4052
2002.1;4225
2002.11;4272
2002.12;4220
2003.01;4315
2003.02;4047
2003.03;4117
2003.04;4129
2003.05;4094
2003.06;4126
2003.07;4088
2003.08;4009
2003.09;4058
2003.1;4398
2003.11;4359
2003.12;4452
2004.01;4359
2004.02;4014
2004.03;4219
2004.04;4328
2004.05;4420
2004.06;4406
2004.07;4368
2004.08;4428
2004.09;4549
2004.1;4655
2004.11;4696
2004.12;4763
2005.01;4772
2005.02;4524
2005.03;4690
2005.04;4673
2005.05;4736
2005.06;4571
2005.07;4640
2005.08;4739
2005.09;4764
2005.1;4849
2005.11;4920
2005.12;5006
2006.01;4919
2006.02;4704
2006.03;5060
2006.04;4857
2006.05;4795
2006.06;4772
2006.07;4749
2006.08;4940
2006.09;4953
2006.1;5142
2006.11;5135
2006.12;5124
2007.01;5267
2007.02;4974
2007.03;5018
2007.04;5169
2007.05;5172
2007.06;5082
2007.07;5139
2007.08;5211
2007.09;5147
2007.1;5441
2007.11;5503
2007.12;5546
2008.01;5474
2008.02;5252
2008.03;5338
2008.04;5248
2008.05;5408
2008.06;5241
2008.07;5335
2008.08;5378
2008.09;5463
2008.1;5685
2008.11;5585
2008.12;5536
2009.01;5341
2009.02;5102
2009.03;5391
2009.04;5307
2009.05;5189
2009.06;5123
2009.07;5258
2009.08;5502
2009.09;5581
2009.1;5779
2009.11;5758
2009.12;5963
2010.01;5740
2010.02;5589
2010.03;6119
2010.04;5884
2010.05;5960
2010.06;5906
2010.07;5844
2010.08;5833
2010.09;5896
2010.1;6123
2010.11;6136
2010.12;6166
2011.01;5989
2011.02;5503
2011.03;6027
2011.04;5967
2011.05;5899
2011.06;5809
2011.07;5937
2011.08;6093
2011.09;6093
2011.1;6216
2011.11;6138
2011.12;6244
2012.01;6298
2012.02;6010
2012.03;6408
2012.04;6272
2012.05;6436
2012.06;6135
2012.07;6112
2012.08;6324
2012.09;6288
2012.1;6428
2012.11;6421
2012.12;6479
2013.01;6660
2013.02;6452
2013.03;6706
2013.04;6853
2013.05;6660
2013.06;6385
2013.07;6535
2013.08;6581
2013.09;6537
2013.1;6833
2013.11;6760
2013.12;6734
2014.01;6882
2014.02;6612
2014.03;6843
2014.04;6670
2014.05;6634
2014.06;6356
2014.07;6535
2014.08;6634
2014.09;6700
2014.1;6911
2014.11;6921
2014.12;6859
2015.01;6968
2015.02;6772
2015.03;6898
2015.04;6729
2015.05;6697
2015.06;6486
2015.07;6272
2015.08;6405
2015.09;6469
2015.1;6711
2015.11;6728
2015.12;6854
2016.01;6614
2016.02;6356
2016.03;6778
2016.04;6601
2016.05;6760
2016.06;6633
2016.07;6474
2016.08;6513
2016.09;6615
2016.1;6668
2016.11;6814
2016.12;6854
2017.01;6681
2017.02;6294
2017.03;6742
2017.04;6501
2017.05;6623
2017.06;6530
2017.07;6303
2017.08;6427
2017.09;6428
2017.1;6809
2017.11;6873
2017.12;6876
2018.01;6736
2018.02;6340
2018.03;6582
2018.04;6672
2018.05;6665
2018.06;6613
2018.07;6525
2018.08;6743
