time;target
01/01/2008;11577
02/01/2008;15305
03/01/2008;39857
04/01/2008;40767
05/01/2008;9939
06/01/2008;1144
07/01/2008;444
08/01/2008;241
09/01/2008;159
10/01/2008;286
11/01/2008;460
12/01/2008;738
01/01/2009;931
02/01/2009;708
03/01/2009;381
04/01/2009;200
05/01/2009;121
06/01/2009;70
07/01/2009;58
08/01/2009;23
09/01/2009;15
10/01/2009;34
11/01/2009;52
12/01/2009;134
01/01/2010;203
02/01/2010;192
03/01/2010;222
04/01/2010;246
05/01/2010;362
06/01/2010;206
07/01/2010;282
08/01/2010;312
09/01/2010;151
10/01/2010;186
11/01/2010;328
12/01/2010;578
01/01/2011;1656
02/01/2011;6132
03/01/2011;15459
04/01/2011;25577
05/01/2011;15958
06/01/2011;4471
07/01/2011;1190
08/01/2011;587
09/01/2011;657
10/01/2011;1053
11/01/2011;1733
12/01/2011;3180
01/01/2012;5672
02/01/2012;11545
03/01/2012;26248
04/01/2012;37464
05/01/2012;29531
06/01/2012;11489
07/01/2012;3092
08/01/2012;1683
09/01/2012;770
10/01/2012;758
11/01/2012;749
12/01/2012;1411
01/01/2013;3930
02/01/2013;8851
03/01/2013;21062
04/01/2013;22110
05/01/2013;6745
06/01/2013;1768
07/01/2013;593
08/01/2013;245
09/01/2013;218
10/01/2013;213
11/01/2013;285
12/01/2013;258
01/01/2014;476
02/01/2014;304
03/01/2014;270
04/01/2014;252
05/01/2014;255
06/01/2014;178
07/01/2014;132
08/01/2014;157
09/01/2014;206
10/01/2014;188
11/01/2014;141
12/01/2014;99
01/01/2015;162
02/01/2015;246
03/01/2015;884
04/01/2015;3352
05/01/2015;5365
06/01/2015;3155
07/01/2015;1285
08/01/2015;797
09/01/2015;397
10/01/2015;367
11/01/2015;615
12/01/2015;1445
01/01/2016;1948
02/01/2016;2627
03/01/2016;6258
04/01/2016;8813
05/01/2016;3319
06/01/2016;1106
07/01/2016;509
08/01/2016;207
09/01/2016;144
10/01/2016;157
11/01/2016;277
12/01/2016;478
01/01/2017;796
02/01/2017;626
03/01/2017;526
04/01/2017;382
05/01/2017;262
06/01/2017;125
07/01/2017;123
08/01/2017;104
09/01/2017;104
10/01/2017;186
11/01/2017;182
12/01/2017;237
01/01/2018;386
02/01/2018;306
03/01/2018;657
04/01/2018;942
05/01/2018;865
